Iteration,Result,Speed (nanoseconds)
1,1,5203
2,2,493
3,3,287
4,5,312
5,8,369
6,13,381
7,21,404
8,34,412
9,55,442
10,89,451
11,144,475
12,233,557
13,377,586
14,610,597
15,987,615
16,1597,647
17,2584,673
18,4181,663
19,6765,685
20,10946,757
21,17711,788
22,28657,834
23,46368,839
24,75025,862
25,121393,920
26,196418,909
27,317811,954
28,514229,909
29,832040,890
30,1346269,1043
31,2178309,1026
32,3524578,1089
33,5702887,1095
34,9227465,1224
35,14930352,1108

1,1,3589
2,2,626
3,3,954
4,5,1943
5,8,2220
6,13,3652
7,21,9009
8,34,499619
9,55,1969
10,89,2230
11,144,4270
12,233,5937
13,377,11485
14,610,11992
15,987,362870
16,1597,44909
17,2584,97289
18,4181,107438
19,6765,197580
20,10946,316614
21,17711,1111437
22,28657,215344
23,46368,347386
24,75025,560468
25,121393,856220
26,196418,1382266
27,317811,2346931
28,514229,4362044
29,832040,15490016
30,1346269,46271421
31,2178309,29206947
32,3524578,27581302
33,5702887,32709595
34,9227465,55737925
35,14930352,118959849
